start writing
1367 1388.4
1367 1386.39
1341 1362.31
1323 1333.43
1295 1300.27
1264 1267.66
1242 1242.04
1236 1236.65
1237 1236.79
1235 1223.1
1235 1235
1237 1222.78
1240 1240
1234 1234.39
1238 1237.82
1239 1239
1236 1236.09
1240 1240.25
1236 1236
1236 1236
1235 1235
1236 1236
1236 1235.54
1239 1238.44
1234 1234
1236 1236
1237 1237
1234 1233.2
1228 1228
1235 1233.61
1229 1229
1230 1230.44
1229 1228.68
1228 1229.62
1234 1234
1241 1243.12
1271 1271
1324 1323.79
1415 1415.72
1543 1544.94
1739 1734
1991 1993.19
2209 2204.09
2315 2318.75
2312 2316.15
2305 2308.43
2315 2310.3
2306 2303.66
2306 2306
2308 2289.89
2315 2296.49
2302 2302
2312 2319.1
2310 2223.39
2306 2309.6
2304 2304
2304 2306.37
2310 2315.16
2322 2322
2313 2310.76
2321 2282.41
2322 2325.4
2319 2322.78
2321 2255.02
2317 2323.14
2315 2315
2317 2319.55
2316 2316
2317 2280.96
2314 2314
2315 2310.09
2314 2315.75
2318 2102.57
2313 2302.24
2316 2317.14
2311 2306.31
2294 2288.19
2300 2300
2302 2058.12
2301 2294.55
2302 2302
2299 2299
2300 2298.72
2299 2299
2305 2305
2305 2305
2307 2307
2312 2253.95
2316 2315.78
2328 2320.26
2379 2187.49
2426 2426
2438 2438.78
2449 2449
2443 2438.53
2406 2403.42
2404 2405.12
2392 2389.63
2374 2370.65
2399 2401.31
2389 2389.3
2391 2391.1
2395 2394.83
2384 2387.47
2381 2381
2386 2389.19
2383 2381.15
2383 2381.42
2381 2382.48
2389 2387.06
2381 2383.58
2378 2379.16
2384 2384.65
2390 2390.26
2390 2390
2391 2394.64
2390 2390
2387 2386.55
2380 2379.66
2369 2369
2377 2377.74
2352 2350.11
2368 2365.25
2369 2370
2378 2377.78
2375 2373.7
2371 2373.45
2378 2376.7
2382 2382
2379 2379.65
2372 2371.15
2375 2374.76
2369 2369
2378 2378
2382 2380.71
2381 2379.06
2377 2377.21
2377 2378.37
2374 2375.94
2376 2376
2376 2376
2386 2385.45
2375 2375.59
2383 2380.17
2377 2375.71
2377 2377
2374 2374.68
2367 2367.36
2371 2372.05
2374 2374
2374 2374
2378 2377.35
2375 2375.21
2376 2376
2377 2377.05
2383 2383
2393 2393
2398 2397.68
2395 2396.88
2388 2388
2404 2402.71
2394 2395.29
2376 2375.35
2387 2387.82
2386 2385.35
2387 2385.06
2388 2388.48
2392 2392.65
2391 2390.91
2389 2391.84
2384 2383.45
2388 2388.79
2388 2388
2387 2383.13
2389 2389
2390 2390
2392 2391.35
2393 2393
2389 2387.51
2384 2385.29
2400 2397.07
2394 2395.39
2388 2384.13
2385 2388.52
2388 2386.52
2383 2384.87
2392 2392
2388 2389.28
2396 2396.48
2396 2396.77
2383 2382.57
2392 2391.7
2381 2379.73
2394 2392.56
2385 2385.64
2394 2394
2393 2392.52
2391 2390.35
2401 2401.8
2395 2396.65
2405 2404.85
2399 2401.88
2404 2401.42
2410 2409.96
2403 2398.88
2408 2405.87
2402 2403.64
2408 2406.48
2412 2412
2415 2415.85
2423 2423.96
2406 2406.85
2411 2413.72
2415 2413.15
2424 2421.58
2436 2436.67
2429 2429
2435 2434.3
2439 2439
2434 2435.94
2433 2433
2429 2429
2435 2435
2432 2432
2428 2428
2432 2432
2435 2435
2446 2443.91
2449 2448.79
2454 2452.71
2454 2262.57
2441 2368.16
2390 2392.73
2289 2276.4
2211 2212.3
2160 2167.24
2125 2125
2119 2116.97
2126 2124.06
2123 2122.95
2117 2068.55
2122 2122
2125 2127.31
2126 2075.84
2128 2126.21
2133 2133
2154 2154
2193 2193
2250 2195.14
2350 2350
2415 2384.16
2432 2432
2428 2430.58
2436 2429.53
2439 2437.87
2435 2424.98
2443 2442.35
2438 2381.51
2436 2437
2439 2432.54
2441 2442.29
2442 2423.5
2445 2441.54
2443 2437.97
2454 2452.5
2437 2438.96
2418 2420.74
2340 2140.88
2201 2129.84
2087 2087
1978 1978
1890 1884.84
1821 1827.41
1766 1765.57
1725 1725
1690 1692.33
1644 1648.91
1638 1641.4
1642 1648.77
1644 1644.56
1642 1779.16
1644 1652.39
1648 1648
1644 1681.17
1643 1643
1647 1785.22
1640 1641.49
1646 1649.4
1648 1800.62
1648 1645.96
1644 1670.26
1648 1642.38
1648 1648
1646 1651.81
1645 1643.69
1643 1643.24
1653 1812.09
1650 1650
1648 1784.62
1649 1654.29
1653 1672.68
1652 1654.26
1659 1657.82
1683 1688.16
1700 1700
1694 1695.29
1694 1690.77
1703 1729.1
1724 1729.81
1751 1751
1778 1780.58
1817 1822.02
1871 1872.77
1919 1949.76
1935 1937.75
1927 1922.5
1929 1929
1925 1925
1926 1927.94
1925 1925
1930 1934.84
1929 1929
1927 2020.6
1929 1981
1925 1925
1920 1922.64
1922 1916.52
1926 1926
1921 1931.12
1924 1922.93
1923 1930.94
1919 1961.35
1928 1961.15
1917 1988.84
1921 1940.35
1924 1961.63
1928 1931.87
1925 1921.27
1925 2012.62
1924 1918.3
1925 1985.15
1918 1916.57
1921 1943.65
1923 1923
1922 1922
1925 1991.36
1922 1957.1
1924 1921.66
1916 1932.94
1920 1965.72
1923 1997.96
1925 1928.97
1924 1923.9
1930 1993.67
1925 2040.93
1922 1922
1926 1985.36
1923 1923
1925 1917.9
1923 1961.23
1924 1968.71
1921 2041.26
1922 1992.3
1924 1975.26
1927 1927.88
1927 1967.19
1929 1930.32
1922 1953.14
1927 1933.23
1916 2011.47
1920 1958.69
1918 1964.34
1921 1959.61
1924 1920.77
1924 1921.87
1921 1919.71
1929 1955.71
1925 1970.23
1928 1965.78
1923 1925.72
1926 2051.95
1924 1968.5
1921 1921
1926 2019.3
1920 1920
1922 1922
1925 1933.98
1921 1953.19
1923 1961.08
1922 1950.14
1926 1930.6
1925 1925
1928 1987.87
1916 1920.3
1918 1920.31
1929 1931.74
1930 1923.77
1922 1924.28
1920 1917.7
1925 1919.65
1927 1927.7
1924 2017.23
1918 1918
1921 1927.48
1926 1927.15
1921 1922.14
1925 1922.5
1929 1997.69
1920 1948.67
1917 1944.03
1923 1923
1923 1965.66
1929 1921.9
1923 1929.29
1920 1970.85
1915 1915
1923 1951.24
1927 1929.58
1922 1926.76
1922 1942.28
1922 1923.79
1920 2036.07
1935 1943.56
1926 1999.45
1915 1915
1925 1927.19
1920 1920
1922 1919.42
1925 2019.74
1923 1934.07
1925 1959.99
1926 1926
1921 1959.16
1926 1948.13
1929 1928.46
1917 1917
1920 1925.07
1920 1924.84
1924 1932.94
1923 1968.55
1928 1939.48
