start writing
1157 1025.62
1159 1050.42
1156 1019.55
1157 1157.61
1158 1158
1158 1158.5
1157 1157
1160 1160
1159 1141.4
1160 1160
1159 1159.54
1162 1160.72
1159 1159.35
1157 1157
1157 1157
1158 1158
1159 1138.19
1158 1159.29
1156 1157.67
1155 1145.37
1158 1158
1160 1160.65
1161 1161
1156 1151.65
1159 1155.72
1155 1155
1157 1156.37
1157 1158.79
1158 1158.08
1157 1158.45
1158 1158
1157 1129.94
1158 1123.61
1158 1158
1159 1156.13
1158 1158
1156 1158.53
1157 1139.4
1156 1156
1157 1155.62
1157 1156.76
1158 1158
1161 1161.24
1159 1141.48
1158 1140.4
1156 1139.24
1158 1140.02
1159 1141.59
1156 1143.83
1158 1139.34
1157 1114.73
1158 1158
1158 1159.15
1159 1149.91
1156 1156.65
1155 1155.65
1159 1159
1158 1119
1158 1158
1158 1158.65
1159 1160.49
1157 1158.44
1156 1157.13
1158 1158
1156 1156.14
1158 1158
1155 1127.34
1158 1157.83
1161 1155.44
1159 1149.06
1159 1159.86
1156 1157.26
1156 1119.29
1158 1158.96
1158 1158.72
1157 1157
1158 1158
1156 1157.33
1156 1123.78
1156 1128.23
1159 1158.35
1159 1160.32
1157 1157
1157 1157.21
1158 1158
1158 1158.12
1159 1159
1158 1159.08
1160 1160
1158 1159.63
1157 1157.36
1159 1159.49
1158 1158.82
1159 1159.12
1159 1159
1157 1157
1157 1129.46
1158 1159.1
1159 1159
1159 1159.87
1160 1158.71
1158 1157.24
1157 1160.67
1157 1135.56
1159 1145.28
1157 1157
1158 1158.39
1156 1156.83
1159 1160.94
1160 1160.79
1159 1158.88
1159 1153.1
1156 1156.94
1157 1158.49
1160 1160.38
1158 1157.64
1160 1160
1157 1156.88
1160 1118.17
1158 1156.95
1158 1158
1157 1158.31
1156 1156.76
1158 1153.77
1157 1157
1159 1160.94
1159 1159.73
1156 1154.38
1159 1158.86
1158 1158
1158 1158
1156 1155.88
1160 1160
1156 1156.03
1160 1160.09
1157 1115.68
1159 1159
1161 1161
1158 1159.14
1158 1156.46
1155 1157.58
1157 1158.18
1157 1157.48
1158 1154.75
1158 1158
1157 1159.2
1158 1149.15
1157 1156.89
1154 1155.63
1156 1157.1
1160 1142.46
1161 1161.18
1156 1156.87
1161 1161
1159 1158.79
1160 1161.94
1159 1158.57
1161 1161
1158 1158.09
1157 1157.12
1159 1159.26
1159 1159
1157 1157
1158 1158
1157 1157
1160 1160.18
1161 1161
1160 1161.29
1157 1158.49
1159 1159.53
1157 1157
1160 1161.29
1158 1158.24
1159 1159
1160 1160
1162 1156.51
1159 1159
1158 1157.57
1157 1157
1159 1159.76
1155 1155
1158 1158
1162 1162.12
1157 1125.95
1157 1158.18
1156 1156
1156 1138.97
1157 1158.64
1158 1159.37
1159 1159
1158 1153.88
1158 1158.48
1158 1156.53
1157 1157
1156 1157.85
1158 1159.57
1158 1159.21
1158 1158
1157 1157
1158 1146.5
1158 1158.09
1157 1157.65
1157 1157.24
1158 1157.94
1158 1158
1158 1158
1158 1150.66
1159 1159
1159 1159
1156 1157.94
1159 1160.04
1159 1159.32
1159 1159.24
1158 1150.86
1158 1159.8
1157 1155.83
1156 1148.28
1159 1140.64
1158 1140.32
1158 1155.54
1159 1159
1159 1160.13
1158 1158.48
1157 1158.64
1159 1159
1158 1126.77
1158 1156.71
1158 1150.1
1156 1156.66
1160 1139.44
1158 1158
1158 1158.6
1157 1150.66
1158 1158
1157 1158.94
1162 1162
1160 1127.71
1156 1156.46
1160 1161.94
1157 1156.95
1155 1155.65
1159 1159.19
1157 1142.48
1158 1159.04
1159 1159
1158 1156.01
1160 1143.08
1158 1133.18
1157 1148.45
1157 1157
1156 1157.8
1158 1138.49
1158 1158.52
1158 1130.7
1158 1155.87
1158 1158.9
1159 1159.36
1160 1161.16
1159 1147.97
1157 1131.97
1157 1141.73
1159 1159.7
1159 1160.41
1158 1158.43
1157 1157.67
1161 1161.82
1157 1157
1156 1122.79
1158 1160.14
1158 1158.32
1158 1135.59
1158 1159.33
1159 1156.22
1160 1141.95
1156 1156
1156 1155.35
1158 1157.5
1160 1142.02
1158 1152.26
1155 1156.94
1159 1143.78
1159 1159
1157 1139.48
1158 1149.6
1159 1161.42
1160 1158.71
1157 1157
1159 1157.61
1160 1160
1160 1159.19
1158 1158
1157 1157.86
1157 1157.9
1157 1158.51
1159 1157.71
1159 1148.72
1158 1146.33
1160 1160.36
1156 1156
1157 1129.46
1156 1120.51
1159 1159
1158 1158.71
1158 1158
1158 1159.94
1161 1146.61
1159 1150.43
1156 1156
1158 1140.86
1158 1158
1159 1136.86
1161 1129.29
1160 1160
1157 1158.94
1158 1130.23
1158 1147.09
1159 1159
1157 1157
1157 1157
1155 1155.12
1158 1158.5
1156 1154.06
1158 1158
1157 1139.25
1163 1147.68
1157 1157
1159 1153.93
1163 1162.57
1158 1158
1157 1129.46
1160 1158.58
1158 1154.41
1155 1155.76
1158 1157.88
1160 1160.6
1162 1162.67
1159 1145.4
1157 1159.82
1162 1163.16
1156 1157.18
1158 1127.44
1158 1156.71
1158 1158
1157 1157.65
1158 1156.71
1156 1156.55
1157 1157
1161 1161
1157 1144.23
1158 1158.97
1160 1160.15
1156 1135.22
1158 1157.29
1158 1158
1157 1139.33
1158 1159.94
1156 1156.12
1160 1142.4
1160 1157.23
1157 1157
1158 1158
1159 1160.28
1158 1158
1161 1160.35
1157 1157
1159 1159.16
1155 1156.79
1161 1160.73
1160 1159.6
1159 1159
1158 1159.49
1156 1158.47
1156 1143.95
1158 1158
1159 1159.12
1160 1147.68
1157 1156.82
1158 1157.52
1158 1158
1156 1112.58
1157 1157.94
1158 1158.48
1161 1161.1
1158 1158.71
1160 1160
1156 1157.55
1156 1143.95
1157 1159.31
1159 1157.71
1162 1162
1159 1115.23
1161 1162.13
1160 1159.25
1158 1154.75
1157 1158.8
1159 1159.49
1159 1140.24
1157 1157.43
1157 1157
1158 1158
1158 1158
1155 1156.29
1157 1151.11
1157 1158.89
1156 1156
1157 1157.78
1157 1158.96
1158 1158
1159 1146.79
1159 1160.29
1158 1158
1157 1157.12
1157 1157
1158 1158.14
1158 1158.55
1157 1158.93
1160 1153.62
1159 1159.11
1157 1141.67
1157 1157.65
1157 1157
1159 1157.71
1159 1159
1157 1158.1
1155 1155
1159 1159
1157 1157.72
1158 1158
1160 1160
1157 1158.37
1157 1158.09
1157 1144.9
1157 1159.06
1158 1158.12
1159 1161.01
1159 1152.24
1157 1157
1156 1156
1160 1159.79
1155 1156.16
1159 1158.91
1157 1157.54
1158 1158
1159 1159.71
1157 1157.66
1157 1153.37
1159 1159.48
1155 1140.32
1158 1156.93
1157 1140.49
1157 1140.78
1158 1151.89
1159 1144.08
1157 1157
1160 1155.62
1160 1152.81
1160 1160.52
1159 1159.35
1161 1153.13
1155 1154.49
1158 1157.29
1162 1136.54
1159 1137.82
1159 1159
1157 1158.62
1159 1157.71
1156 1156.72
1157 1158.81
1158 1158.43
1160 1160.53
1159 1159.68
1160 1160
1158 1148.36
1158 1159.62
1159 1145.11
1158 1141.31
1160 1160
1158 1141.36
1159 1159.27
1159 1159.71
1159 1159.5
1159 1159.97
1159 1159.28
1155 1157.24
1157 1157
1158 1159.29
1157 1154.82
1159 1161.32
1158 1156.71
1161 1161.16
1158 1154.35
1158 1132.44
1157 1158.07
1157 1146.25
1159 1159
1161 1160.62
1158 1157.43
1158 1158
1155 1155.85
1156 1156
1156 1116.26
1157 1158.29
1157 1157
1160 1160.12
1159 1158.79
1155 1157.35
1157 1158.7
1157 1157.62
1158 1159.94
1160 1160
1156 1128.34
1162 1162.61
1160 1160.43
1157 1158.61
1159 1159
1157 1157
1159 1146.61
1159 1159
1157 1156.36
1158 1158.45
1160 1160
1158 1157.59
1158 1159.94
1155 1130.72
1159 1159.46
1157 1157.72
1157 1156.29
1159 1158.12
1159 1159.63
1158 1126.57
1157 1160.23
1157 1158.08
1157 1159.22
1157 1158.85
1158 1158
1157 1157.12
1156 1137.71
1159 1122.37
1156 1156.67
1156 1156
1159 1157.27
1156 1158.19
1159 1158.35
1160 1160.58
1160 1144.49
1157 1157
1156 1156
1156 1156
1157 1158.29
1160 1160
1159 1159
1161 1161.65
1160 1160.03
1156 1150.61
1157 1157
1159 1159
1157 1157.61
1156 1156.9
1160 1159.84
1158 1157.35
